City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Seybaplaya,MX,2020-09-01 04:01:14,19.65,-90.67,86.0,74,5,9.17
70,Alice Springs,AU,2020-09-01 03:59:48,-23.7,133.88,86.0,10,0,13.87
71,Bahia Honda,CU,2020-09-01 04:01:16,22.9,-83.16,79.39,83,0,6.64
72,Atuona,PF,2020-09-01 04:01:16,-9.8,-139.03,78.53,76,61,21.03
73,Ushuaia,AR,2020-09-01 04:01:18,-54.8,-68.3,37.4,92,75,33.33
74,Atikokan,CA,2020-09-01 04:01:18,48.76,-91.62,46.99,80,81,4.52
75,Aden,YE,2020-09-01 03:59:39,12.78,45.04,85.33,79,66,7.25
76,Bredasdorp,ZA,2020-09-01 04:01:19,-34.53,20.04,47.12,91,71,5.95
77,Dharchula,IN,2020-09-01 04:01:19,29.85,80.53,77.67,64,43,4.52
78,Lebu,CL,2020-09-01 04:01:20,-37.62,-73.65,45.48,83,0,1.07
79,Ponta Do Sol,PT,2020-09-01 04:01:20,32.67,-17.1,69.8,68,20,17.22
80,Cajnice,BA,2020-09-01 04:01:20,43.56,19.07,60.8,100,53,5.82
81,Isangel,VU,2020-09-01 04:01:20,-19.55,169.27,78.8,65,20,9.17
82,Talara,PE,2020-09-01 04:01:20,-4.58,-81.27,63.3,81,100,20.51
83,San Patricio,MX,2020-09-01 04:01:21,19.22,-104.7,78.06,83,100,2.39
84,Dutse,NG,2020-09-01 04:01:22,11.76,9.34,72.84,76,65,7.18
85,Kahama,TZ,2020-09-01 04:01:22,-3.83,32.6,60.19,57,82,6.2
86,Bonavista,CA,2020-09-01 04:01:22,48.65,-53.11,51.01,81,100,10.0
87,Antofagasta,CL,2020-09-01 04:01:23,-23.65,-70.4,57.2,82,90,5.82
88,Comodoro Rivadavia,AR,2020-09-01 03:58:12,-45.87,-67.5,35.6,93,14,4.9
89,Mar Del Plata,AR,2020-09-01 04:01:24,-38.0,-57.56,44.01,60,75,4.7
90,Aykhal,RU,2020-09-01 04:01:24,66.0,111.5,41.0,100,90,4.47
91,Pevek,RU,2020-09-01 04:01:25,69.7,170.31,37.26,89,97,11.77
92,Hay River,CA,2020-09-01 04:01:25,60.82,-115.8,51.8,93,90,4.7
93,Richards Bay,ZA,2020-09-01 04:01:25,-28.78,32.04,59.2,77,100,3.02
94,Luderitz,NA,2020-09-01 04:01:25,-26.65,15.16,51.84,73,0,19.24
95,Ambilobe,MG,2020-09-01 04:01:25,-13.2,49.05,68.9,65,7,3.87
96,Narok,KE,2020-09-01 04:01:26,-1.08,35.86,55.08,76,52,3.69
97,Malinovoye Ozero,RU,2020-09-01 04:01:26,51.68,79.78,77.86,35,0,5.39
98,Ondangwa,NA,2020-09-01 04:01:27,-17.92,15.95,59.0,28,1,3.36
99,Blackwater,AU,2020-09-01 04:01:27,-23.58,148.88,81.19,26,0,8.86
100,Brightwater,NZ,2020-09-01 04:01:28,-41.38,173.12,48.0,88,7,5.99
101,Pechenga,RU,2020-09-01 04:01:28,69.53,31.17,44.6,70,75,21.92
102,The Valley,AI,2020-09-01 04:01:02,18.22,-63.06,84.2,83,40,9.17
103,Soe,ID,2020-09-01 04:01:28,-9.86,124.28,81.93,51,46,13.49
104,Kahului,US,2020-09-01 04:01:29,20.89,-156.47,86.0,51,40,24.16
105,Tasiilaq,GL,2020-09-01 04:01:29,65.61,-37.64,39.2,93,100,2.73
106,Aracati,BR,2020-09-01 03:59:59,-4.56,-37.77,76.78,64,0,14.29
107,Joue-Les-Tours,FR,2020-09-01 04:01:30,47.35,0.67,50.0,87,0,2.24
108,Katsuura,JP,2020-09-01 04:01:30,35.13,140.3,82.99,65,22,4.0
109,Iquique,CL,2020-09-01 04:01:30,-20.22,-70.14,60.8,72,90,4.7
110,Uvalde,US,2020-09-01 04:01:30,29.37,-99.77,89.6,66,1,16.11
111,Chino,US,2020-09-01 03:58:47,34.01,-117.69,73.4,56,1,11.41
112,Celestun,MX,2020-09-01 04:01:31,20.87,-90.4,83.52,72,0,13.49
113,Panguna,PG,2020-09-01 04:01:31,-6.32,155.48,74.71,94,100,3.13
114,Norman Wells,CA,2020-09-01 04:01:31,65.28,-126.83,53.6,93,90,5.73
115,Sao Filipe,CV,2020-09-01 04:01:31,14.9,-24.5,77.05,74,62,6.44
116,Samarai,PG,2020-09-01 04:01:32,-10.62,150.67,77.77,87,97,17.6
117,Havre-Saint-Pierre,CA,2020-09-01 04:01:33,50.23,-63.6,44.6,93,1,2.24
118,Sal Rei,CV,2020-09-01 04:01:33,16.18,-22.92,77.0,78,75,10.29
119,Vac,HU,2020-09-01 04:01:33,47.78,19.14,61.0,93,100,5.99
120,Faanui,PF,2020-09-01 04:01:34,-16.48,-151.75,77.56,77,29,23.89
121,Nhulunbuy,AU,2020-09-01 04:01:34,-12.23,136.77,86.0,55,75,12.75
122,Deputatskiy,RU,2020-09-01 04:01:35,69.3,139.9,45.01,59,69,12.15
123,Domoni,KM,2020-09-01 04:01:35,-12.26,44.53,75.49,71,8,7.34
124,Laguna,US,2020-09-01 03:57:24,38.42,-121.42,78.8,44,1,8.05
125,Hasaki,JP,2020-09-01 04:01:36,35.73,140.83,81.0,78,75,12.75
126,Port Lincoln,AU,2020-09-01 04:01:36,-34.73,135.87,65.03,51,100,18.88
127,Arrifes,PT,2020-09-01 04:01:37,37.77,-25.7,71.6,83,20,11.41
128,Rochefort,FR,2020-09-01 04:01:37,45.92,-1.0,57.99,71,99,8.05
129,Bethel,US,2020-09-01 03:57:21,41.37,-73.41,63.0,87,1,3.36
130,Yulara,AU,2020-09-01 04:01:38,-25.24,130.99,84.2,14,0,10.29
131,Tocache,PE,2020-09-01 04:01:39,-8.18,-76.51,72.54,67,100,0.87
